"","Date","SerieOriginal","SerieAjustada","SerieTendencial"
"120",2006-12-01,1021,1031,1031
"121",2007-01-01,798,803,810
"122",2007-02-01,720,774,825
"123",2007-03-01,911,886,853
"124",2007-04-01,912,899,876
"125",2007-05-01,1010,934,879
"126",2007-06-01,894,862,859
"127",2007-07-01,795,798,838
"128",2007-08-01,795,803,835
"129",2007-09-01,830,853,849
"130",2007-10-01,865,862,867
"131",2007-11-01,885,911,882
"132",2007-12-01,838,851,897
"133",2008-01-01,932,941,919
"134",2008-02-01,866,935,942
"135",2008-03-01,987,965,965
"136",2008-04-01,961,951,996
"137",2008-05-01,1159,1071,1038
"138",2008-06-01,1118,1073,1079
"139",2008-07-01,1154,1152,1112
"140",2008-08-01,1120,1121,1135
"141",2008-09-01,1074,1099,1168
"142",2008-10-01,1275,1269,1221
"143",2008-11-01,1330,1375,1253
"144",2008-12-01,1179,1202,1248
"145",2009-01-01,1184,1198,1248
"146",2009-02-01,1266,1372,1253
"147",2009-03-01,1193,1172,1240
"148",2009-04-01,1232,1222,1234
"149",2009-05-01,1268,1172,1257
"150",2009-06-01,1400,1340,1306
"151",2009-07-01,1375,1366,1360
"152",2009-08-01,1439,1427,1404
"153",2009-09-01,1478,1507,1428
"154",2009-10-01,1358,1352,1437
"155",2009-11-01,1349,1406,1472
"156",2009-12-01,1576,1612,1532
"157",2010-01-01,1610,1632,1569
"158",2010-02-01,1368,1489,1590
"159",2010-03-01,1674,1649,1632
"160",2010-04-01,1715,1699,1684
"161",2010-05-01,1883,1735,1728
"162",2010-06-01,1878,1791,1764
"163",2010-07-01,1817,1798,1787
"164",2010-08-01,1875,1846,1793
"165",2010-09-01,1689,1716,1792
"166",2010-10-01,1947,1938,1784
"167",2010-11-01,1546,1622,1763
"168",2010-12-01,1679,1725,1772
"169",2011-01-01,1850,1882,1809
"170",2011-02-01,1661,1815,1834
"171",2011-03-01,1875,1850,1853
"172",2011-04-01,1882,1864,1878
"173",2011-05-01,2101,1931,1902
"174",2011-06-01,2027,1930,1916
"175",2011-07-01,1971,1946,1915
"176",2011-08-01,1964,1922,1897
"177",2011-09-01,1809,1831,1873
"178",2011-10-01,1904,1897,1850
"179",2011-11-01,1739,1830,1817
"180",2011-12-01,1697,1748,1777
"181",2012-01-01,1657,1691,1754
"182",2012-02-01,1621,1775,1752
"183",2012-03-01,1762,1741,1754
"184",2012-04-01,1783,1766,1755
"185",2012-05-01,1938,1779,1749
"186",2012-06-01,1787,1702,1737
"187",2012-07-01,1727,1704,1736
"188",2012-08-01,1851,1805,1740
"189",2012-09-01,1812,1827,1710
"190",2012-10-01,1549,1547,1652
"191",2012-11-01,1512,1593,1616
"192",2012-12-01,1569,1617,1603
"193",2013-01-01,1544,1579,1591
"194",2013-02-01,1425,1562,1584
